starter,base,colour
Black,yes,#000000
Blue,yes,#162899
Green,yes,#207d26
Neutral,yes,#a39387
Purple,yes,#5a177e
Red,yes,#8c201b
White,yes,#f8f8f8
BlackF20,no,#000000
BlueF20,no,#162899
GreenF20,no,#207d26
NeutralF20,no,#a39387
PurpleF20,no,#5a177e
RedF20,no,#8c201b
WhiteF20,no,#f8f8f8
