deck_type,description
monocolour,"one colour only, official starters and specs"
multicolour,"mixed-colour decks allowed, official starters and specs"
draft,"mixed-colour decks allowed with no spec belonging to starter, official starters and specs"
multicolourF20,"mixed-colour decks allowed, card edits for official starters and specs used first in XCAFS20"
monocolour+BB+Finesse,"as for monocolour, but Demonology replaced by Black Bashing, and Finesse can be used in non-Black colours"
multicolourP22,"mixed-colour decks allowed, card edits for official starters and specs used first in XCAPS22"
