start,end,tournament,round,round_match_number,player1,player2,deck1,deck2,map,victor,victory,format,unknown_order,recorder,notes
2020-06-02,2020-06-09,MMM1,5,1,codexnewb,charnel_mouse,MonoRed,MonoGreen,,charnel_mouse,normal,forum,,charnel_mouse,
2020-06-10,2020-06-16,MMM1,6,1,charnel_mouse,codexnewb,MonoGreen,MonoRed,,charnel_mouse,normal,forum,,charnel_mouse,
2020-06-18,2020-06-22,MMM1,7,1,charnel_mouse,codexnewb,MonoGreen,MonoRed,,charnel_mouse,normal,forum,,charnel_mouse,
2020-06-23,2020-06-24,CAMS20,1,1,codexnewb,FrozenStorm,Miracle Grow,[Necromancy]/Blood/Fire,,FrozenStorm,normal,forum,,charnel_mouse,
2020-06-22,2020-06-24,MMM1,1,8,FrozenStorm,codexnewb,MonoRed,MonoWhite,,FrozenStorm,normal,forum,,charnel_mouse,
2020-06-25,2020-06-25,MMM1,2,8,FrozenStorm,codexnewb,MonoRed,MonoWhite,,FrozenStorm,normal,forum,,charnel_mouse,
2020-06-22,2020-06-26,CAMS20,1,2,zhavier,Nekoatl,[Future]/Necromancy/Peace,[Future/Past]/Peace,,zhavier,normal,forum,,charnel_mouse,
2020-06-24,2020-06-28,CAMS20,1,4,CarpeGuitarrem,charnel_mouse,MonoRed,[Necromancy]/Anarchy/Blood,,charnel_mouse,normal,forum,,charnel_mouse,
2020-06-26,2020-06-29,MMM1,3,8,FrozenStorm,codexnewb,MonoRed,MonoWhite,,FrozenStorm,normal,forum,,charnel_mouse,
2020-06-29,2020-06-30,MMM1,4,8,FrozenStorm,codexnewb,MonoRed,MonoWhite,,codexnewb,normal,forum,,charnel_mouse,
2020-06-28,2020-07-01,CAMS20,1,3,Bomber678,Nopethebard,[Discipline/Strength]/Finesse,MonoWhite,,Bomber678,normal,forum,,charnel_mouse,
2020-06-30,2020-07-01,CAMS20,2,1,FrozenStorm,zhavier,[Necromancy]/Blood/Fire,[Future]/Necromancy/Peace,,FrozenStorm,normal,forum,,charnel_mouse,
2020-06-30,2020-07-03,MMM1,5,8,FrozenStorm,codexnewb,MonoRed,MonoWhite,,FrozenStorm,normal,forum,,charnel_mouse,
2020-06-29,2020-07-05,CAMS20,2,3,Nekoatl,CarpeGuitarrem,[Future/Past]/Peace,MonoRed,,CarpeGuitarrem,normal,forum,,charnel_mouse,
2020-06-30,2020-07-06,CAMS20,2,2,charnel_mouse,Bomber678,[Necromancy]/Anarchy/Blood,[Discipline/Strength]/Finesse,,charnel_mouse,normal,forum,,charnel_mouse,
2020-06-26,2020-07-06,MMM1,8,1,charnel_mouse,codexnewb,MonoGreen,MonoRed,,charnel_mouse,normal,forum,,charnel_mouse,
2020-07-06,2020-07-07,CAMS20,3,1,charnel_mouse,FrozenStorm,[Necromancy]/Anarchy/Blood,[Necromancy]/Blood/Fire,,FrozenStorm,normal,forum,,charnel_mouse,
2020-07-02,2020-07-08,CAMS20,2,4,Nopethebard,codexnewb,MonoWhite,Miracle Grow,,codexnewb,normal,forum,,charnel_mouse,
2020-07-06,2020-07-08,CAMS20,3,3,zhavier,codexnewb,[Future]/Necromancy/Peace,Miracle Grow,,codexnewb,normal,forum,,charnel_mouse,
2020-07-06,2020-07-11,CAMS20,3,4,Nekoatl,Nopethebard,[Future/Past]/Peace,MonoWhite,,Nekoatl,normal,forum,,charnel_mouse,
2020-07-08,2020-07-11,MMM1,6,8,codexnewb,FrozenStorm,MonoWhite,MonoRed,,codexnewb,normal,forum,,charnel_mouse,
2020-07-07,2020-07-14,CAMS20,3,2,Bomber678,CarpeGuitarrem,[Discipline/Strength]/Finesse,MonoRed,,Bomber678,normal,forum,,charnel_mouse,
2020-07-11,2020-07-14,MMM1,7,8,codexnewb,FrozenStorm,MonoWhite,MonoRed,,codexnewb,normal,forum,,charnel_mouse,
2020-07-13,2020-07-15,MMM1,1,9,dwarddd,bolyarich,MonoPurple,MonoRed,,dwarddd,normal,forum,,charnel_mouse,
2020-07-14,2020-07-16,CAMS20,4,1,FrozenStorm,Bomber678,[Necromancy]/Blood/Fire,[Discipline/Strength]/Finesse,,FrozenStorm,normal,forum,,charnel_mouse,
2020-07-16,2020-07-17,MMM1,8,8,codexnewb,FrozenStorm,MonoWhite,MonoRed,,codexnewb,normal,forum,,charnel_mouse,
2020-07-14,2020-07-20,CAMS20,4,2,codexnewb,charnel_mouse,Miracle Grow,[Necromancy]/Anarchy/Blood,,charnel_mouse,normal,forum,,charnel_mouse,
2020-07-16,2020-07-20,CAMS20,4,3,CarpeGuitarrem,zhavier,MonoRed,[Future]/Necromancy/Peace,,zhavier,normal,forum,,charnel_mouse,
2020-07-20,2020-07-21,MMM1,9,8,codexnewb,FrozenStorm,MonoWhite,MonoRed,,FrozenStorm,normal,forum,,charnel_mouse,
2020-07-20,2020-07-23,CAMS20,5,1,FrozenStorm,Nekoatl,[Necromancy]/Blood/Fire,[Future/Past]/Peace,,FrozenStorm,normal,forum,,charnel_mouse,
2020-07-16,2020-07-24,MMM1,2,9,dwarddd,bolyarich,MonoPurple,MonoRed,,bolyarich,normal,forum,,charnel_mouse,
2020-07-21,2020-07-26,CAMS20,5,3,zhavier,charnel_mouse,[Future]/Necromancy/Peace,[Necromancy]/Anarchy/Blood,,zhavier,normal,forum,,charnel_mouse,
2020-07-20,2020-07-29,CAMS20,5,2,Bomber678,codexnewb,[Discipline/Strength]/Finesse,Miracle Grow,,codexnewb,normal,forum,,charnel_mouse,
2020-07-22,2020-07-29,MMM1,10,8,codexnewb,FrozenStorm,MonoWhite,MonoRed,,codexnewb,normal,forum,,charnel_mouse,
